2024-12-15 20:05:29.725 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:29.833 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:30.733 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:30.842 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:31.745 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:31.854 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:32.768 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:32.876 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:33.778 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:33.887 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:34.789 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:34.912 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:35.800 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:35.926 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:36.804 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:36.928 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:37.833 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:37.923 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:38.854 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:38.931 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:39.866 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:39.944 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:40.895 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:40.958 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:41.922 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:41.982 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:42.936 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:42.996 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:43.935 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:44.012 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:44.947 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:45.022 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:45.958 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:46.034 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:46.963 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:47.039 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:47.993 | ERROR    | __main__:_message_handler:156 - Error handling message: received 1000 (OK) Bye; then sent 1000 (OK) Bye
2024-12-15 20:05:48.039 | ERROR    | __main__:_keepalive_loop:141 - Keepalive error: received 1000 (OK) Bye; then sent 1000 (OK) Bye
